"id","creared_at","name","has_test","alternate_url"
"45693931","2021-06-23T19:14:28+0300","-",false,"https://hh.ru/vacancy/45693931"
"44350010","2021-06-24T10:06:40+0300","-",false,"https://hh.ru/vacancy/44350010"
"45061824","2021-06-24T11:22:53+0300","-",false,"https://hh.ru/vacancy/45061824"
"45708106","2021-06-24T11:32:07+0300","-",false,"https://hh.ru/vacancy/45708106"
"45603462","2021-06-24T12:46:18+0300","-",false,"https://hh.ru/vacancy/45603462"
"44912978","2021-06-24T13:37:20+0300","-",false,"https://hh.ru/vacancy/44912978"
"45715303","2021-06-24T13:56:49+0300","Senior",false,"https://hh.ru/vacancy/45715303"
"45398900","2021-06-24T14:54:31+0300","-",false,"https://hh.ru/vacancy/45398900"
"45398903","2021-06-24T14:54:31+0300","-",false,"https://hh.ru/vacancy/45398903"
"44872776","2021-06-24T15:21:58+0300","Junior",false,"https://hh.ru/vacancy/44872776"
"45191074","2021-06-24T15:50:44+0300","-",false,"https://hh.ru/vacancy/45191074"
"45420383","2021-06-24T16:26:10+0300","-",false,"https://hh.ru/vacancy/45420383"
"44088438","2021-06-24T19:00:33+0300","-",false,"https://hh.ru/vacancy/44088438"
"45743701","2021-06-25T13:13:40+0300","-",false,"https://hh.ru/vacancy/45743701"
"44933117","2021-06-25T13:33:17+0300","-",false,"https://hh.ru/vacancy/44933117"
"45213733","2021-06-25T16:21:22+0300","-",false,"https://hh.ru/vacancy/45213733"
"45754000","2021-06-25T17:46:44+0300","-",false,"https://hh.ru/vacancy/45754000"
"43904231","2021-06-25T18:23:26+0300","-",false,"https://hh.ru/vacancy/43904231"
"43825932","2021-06-26T09:57:43+0300","Junior",false,"https://hh.ru/vacancy/43825932"
"45522474","2021-06-26T10:56:28+0300","-",false,"https://hh.ru/vacancy/45522474"
